Team Name,Team Category,Member1,Contact,Member2,Member3,Language,Institute,Username,password
T1,Aplha,M1,31,M2,M3,python,Air Uni,username1,password1
The Titans,Aplha,Abdullah Khan,3432423,Hassan Ali,Mohammad Hussain,cpp,NUST,akhan,7S4kMn3p
The Innovators,Beta,Fatima Ahmed,234324,Ahmed Khan,Mohammad Hussain,javascript,FAST,fahmed,2T6nDj9h
The Visionaries,Alpha,Samiullah Khan,5456456,Kareem Ali,Mohammad Hussain,python,GIKI,skhan,6F3rLm2q
The Explorers,Beta,Sarah Ali,45654654,Mohammad Hussain,,cpp,AIMS,saali,9B8gVf5c
The Mavericks,Alpha,Muhammad Ahmed,645654,Rehan Hassan,Mohammad Hussain,python,LUMS,mahmed,4K2nVf7x
The Guardians,Alpha,Ayesha Malik,45645645,Bilal Ahmed,Mohammad Hussain,python,COMSATS,amalik,8N7dMf1t
The Catalysts,Beta,Hamza Ali,54654646,Aisha Shah,,javascript,GCU Lahore,hali,3T6bFr5s
The Techies,Alpha,Maryam Khan,5645645,Ahsan Ali,Mohammad Hussain,javascript,Punjab Uni,mkhan,1B6nKj7f
The Titans,Beta,Ahmed Hassan,54645645,Khadija Ahmed,Mohammad Hussain,javascript,UET Lahore,ahassan,5F2jGh9t
The Explorers,Alpha,Ali Raza,54645645,Shireen Khan,Mohammad Hussain,c,NUML,araza,0V9mKl4p
The Ammars, Beta, Ammar Zaid,211111, Ammar Ali, Ammar Khan,cpp, Air Uni, azaid,123456
